task,model_0,model_1,model_2,rule_0,rule_1,rule_2,valid_rollouts,novel_rollouts,pooled_rollout_index,pooled_candidate_id,pooled_preliminary_ratio,pooled_default_ms,pooled_selected_ms,pooled_speedup,oracle_speedup
job-23c,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,default,1.0,107.356,107.356,1.0,1.0
job-24a,1.0,1.0,1.0126690100454858,1.0,1.0,1.0,2,2,0,default,1.0,183.287,183.287,1.0,1.0
job-24b,6.434510086455331,2.2088658716206586,12.427548720668169,6.434510086455331,2.2088658716206586,12.427548720668169,3,3,2,candidate-01,11.444976076555024,93.741,7.543,12.427548720668169,12.427548720668169
job-25a,1.0,1.0,1.0277365930088764,1.0,1.0,1.0,3,3,0,default,1.0,613.052,613.052,1.0,1.0
job-25b,1.530019613008987,1.5198286802030458,1.0460725281312155,1.530019613008987,1.5198286802030458,1.0460725281312155,3,3,0,candidate-05,1.5413276975188908,104.534,68.322,1.530019613008987,1.530019613008987
job-25c,1.0295089657238208,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,2155.523,2155.523,1.0,1.0
job-26a,1.0,2.3919081718212394,1.797893619919559,1.0,2.3919081718212394,1.797893619919559,2,2,1,candidate-03,2.6271048619346096,496.364,207.518,2.3919081718212394,2.3919081718212394
job-26b,1.000799232736573,1.0,1.0,1.000799232736573,1.0,1.0,3,3,0,candidate-03,1.1324867724867724,56.349,56.304,1.000799232736573,1.000799232736573
job-26c,5.945541960860174,4.089570356699514,1.5893453167643496,5.945541960860174,4.089570356699514,1.5893453167643496,3,3,0,candidate-05,5.8198980322288145,1475.303,248.136,5.945541960860174,5.945541960860174
job-27a,1.0,1.0,1.0,1.0,1.0,1.0,3,2,0,default,1.0,8.136,8.136,1.0,1.0
job-27b,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,4.618,4.618,1.0,1.0
job-27c,1.0,1.0,2.195355634946411,1.0,1.0,2.195355634946411,3,3,2,candidate-04,2.17199415868895,13.519,6.158,2.195355634946411,2.195355634946411
job-28a,1.0,1.0,1.0,1.0,1.0,1.2348181352911072,1,1,2,candidate-01,1.2380145075341165,279.874,226.652,1.2348181352911072,1.2348181352911072
job-28b,0.9002839840620077,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,164.62,164.62,1.0,1.0
job-28c,1.120882866622084,1.1683484493906178,0.9988500353389644,1.120882866622084,1.1683484493906178,1.0,3,3,0,candidate-04,1.1188226130979426,345.279,308.042,1.120882866622084,1.1683484493906178
job-29a,1.0,1.0,1.0,1.0,1.1379927372243566,1.0,1,1,1,candidate-05,1.1269343370974487,21.623,19.001,1.1379927372243566,1.1379927372243566
job-29b,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,default,1.0,15.217,15.217,1.0,1.0
job-29c,1.0,1.0,0.9991453367989779,1.0,1.0,1.0,1,1,0,default,1.0,444.747,444.747,1.0,1.0
job-30a,2.5054694303191893,1.0,1.0,2.5054694303191893,1.0,1.0,3,3,0,candidate-04,2.5533528934222183,932.205,372.068,2.5054694303191893,2.5054694303191893
job-30b,8.515195911038653,9.873534658511723,7.431815595843132,8.515195911038653,9.873534658511723,7.431815595843132,3,3,1,candidate-01,10.099191408717624,774.875,78.48,9.873534658511723,9.873534658511723
job-30c,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,785.503,785.503,1.0,1.0
job-31a,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,399.728,399.728,1.0,1.0
job-31b,1.0332682212184106,1.5331359695495876,1.60367315777589,1.0,1.5331359695495876,1.60367315777589,3,3,1,candidate-05,1.5823251427897855,145.004,94.58,1.5331359695495876,1.60367315777589
job-31c,1.0,1.523799024546011,1.0,1.0,1.523799024546011,1.0,3,3,1,candidate-02,1.6942014901198577,400.846,263.057,1.523799024546011,1.523799024546011
job-32a,1.1608179054987564,1.0,1.0,1.1608179054987564,1.2314152410575427,1.0,3,3,0,candidate-02,1.2717195925704015,4.201,3.619,1.1608179054987564,1.2314152410575427
job-32b,1.0,1.0,1.0,1.0,1.0,1.0,3,2,0,default,1.0,54.234,54.234,1.0,1.0
job-33a,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,11.46,11.46,1.0,1.0
job-33b,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0,default,1.0,10.272,10.272,1.0,1.0
job-33c,1.0,0.16071245908346973,1.0,1.0,1.0,1.0,3,3,0,default,1.0,12.547,12.547,1.0,1.0
